id,warehouse_id,created_by,name,manager_name,manager_email,telephone,street,city,country_id,state,state_id,postcode,latitude,longtitude,total_purchase,status,is_unwarehouse,tin_no,cst_no,cin_no,gstin,branch_address,inv_prefix,alias_name,erp_warehouse_id,is_default_warehouse
,12,rajesh,Inthree-Siliguri,Michael David,chn-lg@inthreeaccess.com,(033) 40650047,"INTHREE ACCESS SERVICES PVT LTD, 4B,GROUND FLOOR, RAJA BASANTA ROY ROAD,",KOLKATA,IN,West Bengal,519,700026,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt Ltd
C/O M/S Rajprotim Supply Chain
Solutions Ltd.Ektiasal,Estern By Pass Road,Baneswa More,
Besides Om Logistics,Siliguri 734006.",BB/KOL/16-17/,,,0
,13,rajesh,Inthree-Assam,Ramalingam,ramalingam@inthreeaccess.in,7358381851,"INTHREE ACCESS SERVICES PVT LTD,   Rajprotim Supply Chain Solutions Limited Betkuchi, Besides Nissan Showroom, NH - 37, Guwahati",Guwahati,IN,Assam,488,781034,NULL,NULL,0,1,0,18800250159,18749956968,U52100TN2013PTC090074,18AADCI1865R1ZW,"INTHREE ACCESS SERVICES PVT LTD,
Rajprotim Supply Chain Solutions Limited
Betkuchi, Besides Nissan Showroom,
NH - 37, Guwahati - 781034",BB/ASM/16-17/,,,1
,14,rajesh,Inthree-Meghalaya,Ramalingam,ramalingam@inthreeaccess.in,(033) 40650047,"INTHREE ACCESS SERVICES PVT LTD,  45b Charu Chandra Avenue",Kolkata,IN,Assam,488,700033,NULL,NULL,0,2,0,19621521908,19621521908,U52100TN2013PTC090074,18AADCI1865R1ZW,"INTHREE ACCESS SERVICES PVT LTD
C/O RAJPROTIM SUPPLY CHAIN 
SOLUTIONS LIMITED
RASTRIYO ISPAT COMPOUND,
OPPJALAN GATE NO. 1NH-6,
HOWRAH - 711302",BB/ASM/16-17/,,,0
,15,rajesh,Inthree-East Godavari,Saibabu,chn-lg@inthreeaccess.com,9640072835,"18-328, MANI CERAMICS COMPOUND, INDUSTRIAL ESTATE, DOWLIESWARAM,",EAST GODAVARI,IN,Andhra Pradesh,486,533124,NULL,NULL,0,1,0,37913441700,37913441700,U52100TN2013PTC090074,37AADCI1865R1ZW,"INTHREE ACCESS SERVICES PVT LTD,
18-328, MANI CERAMICS COMPOUND,
INDUSTRIAL ESTATE, DOWLIESWARAM, 
EAST GODAVARI - 533124
",,,,0
,16,rajesh,Inthree-Punjab,Sachin,sachin@inthreeaccess.com,9741309944,"INTHREE ACCESS SERVICES PVT LTD C/O VRL logistics Ltd Plot no 854 , R K road, R K tool machine complex,",Ludhiana,IN,Punjab,512,141003,NULL,NULL,0,1,0,43252345234,34253245432,4.24E+11,03AADCI1865R1Z7,"INTHREE ACCESS SERVICES PVT LTD
C/O VRL logistics Ltd Plot no 854 , R K road, R K tool machine complex,
Ludhiana - 141003",,,,1
,17,rajesh,Inthree-Howrah,Michael David,chn-lg@inthreeaccess.com,(033) 40650047,"INTHREE ACCESS SERVICES PVT LTD, 4B,GROUND FLOOR, RAJA BASANTA ROY ROAD",KOLKATA,IN,West Bengal,519,700026,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt. Ltd.Mankasia Properties Pvt. Ltd.Sankrial Industrial Park,Bhagabatipur, P.S.- Sankrial,Dhulagarh, Howrah,West Bengal—711302",,,,1
,18,rajesh,Inthree-Chennai(AY),Chennai,chn-lg@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd,  Old No.62, New No.1, LUZ Avenue 5th street, Mylapore",Chennai,IN,Tamil Nadu,515,600004,NULL,NULL,0,2,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"INTHREE ACCESS SERVICES PVT LTD
128/1,C/O VRL Logistics Ltd,Vanagaram,
Ambattur road,
Ayanambakkam-600095",,,,0
,19,rajesh,inthree-Haryana,Ramalingam,ramalingam@inthreeaccess.in,7358381851,"Inthree Access Services Pvt Ltd, SAINY COLONY, CARE OFF VRL LOGISTICS LIMITED, NEAR NAMASTE CHOWK SECTOR 16 OFF SECTOR 3 INDUSTRIAL AREA, KARNAL, Karnal, Haryana, 132001",Haryana,IN,Haryana,497,132001,NULL,NULL,0,1,0,18800250159,18749956968,U52100TN2013PTC090074,06AADCI1865R1Z1,"INTHREE ACCESS SERVICES PVT LTD
SAINY COLONY, CARE OFF VRL LOGISTICS LIMITED,
NEAR NAMASTE CHOWK SECTOR 16 OFF SECTOR 3
INDUSTRIAL AREA, KARNAL, Karnal, Haryana, 132001
",,,,1
,20,rajesh,Inthree-Sambalpur,Anuradha,chn-lg@inthreeaccess.com,9741309944,"INTHREE ACCESS SERVICES PVT LTD, C/O,VRL Logistics Ltd,Plot No.1440/1441,   At Nankar, Aside NH45,  Jagatpur,Cuttuk",Orissa,IN,Orissa,510,754021,NULL,NULL,0,1,0,21343304747,21343304747,U52100TN2013PTC090074,21AADCI1865R1Z9,"INTHREE ACCESS SERVICES PVT LTD
C/o-VRL Logistics Limited.
In front of Hyundai Showroom, NH-6,
Gopalpali, Sambalpur-768228 Odisha.
Cont.9338118222 ( Prachet Rajan Khuntia )",,,,0
,21,rajesh,Inthree-Tripura,Anuradha,chn-lg@inthreeaccess.com,9741309944,"Inthree Access Services Pvt Ltd, C/o  Great Indian Roadlines, Bhoturia Complex, B.K Road, Banamalipur - Agartala- 799001. Tripura",Agartala,IN,Tripura,516,799001,NULL,NULL,0,1,0,21343304747,21343304747,U52100TN2013PTC090074,16AADCI1865R1Z0,"Inthree Access Services Pvt Ltd,
C/o  Great Indian Roadlines,
Bhoturia Complex, B.K Road,
Banamalipur - Agartala- 799001. Tripura",,,,1
,22,rajesh,inthree-Maharastra,Anuradha,chn-lg@inthreeaccess.com,9741309944,"Inthree Access Services Pvt Ltd,S.NO.163, CARE OFF VRL LOGISTICS LIMITED, PHURUSUNGI, HAVELI TALUK, Pune, Maharashtra, 412308",Pune,IN,Maharashtra,505,412308,NULL,NULL,0,1,0,21343304747,21343304747,U52100TN2013PTC090074,27AADCI1865R1ZX,"Inthree Access Services Pvt Ltd,
S.NO.163, CARE OFF VRL LOGISTICS LIMITED,
PHURUSUNGI, HAVELI TALUK, Pune, Maharashtra, 412308",,,,1
,23,rajesh,Inthree-Chennai-Vanagaram,Chennai,chn-lg@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd. #24, Rajasekaran Street, Dr. Radhakrishnan Salai, Mylapore.",Chennai,IN,Tamil Nadu,515,600004,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree Access Services Pvt Ltd,
 S NO 85,86,88, SIVABOODAMEDU, VANAGARAM, Chennai, Tamil Nadu, 600095",,,,1
,24,rajesh,inthree-kandi,Atanu Kumar Das,classicinternational1@gmail.com,9732985830,"INTHREE ACCESS SERVICES PVT LTD,Usha Market, Kandi, Murshidabad",KOLKATA,IN,West Bengal,519,742137,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt Ltd
Usha Market, Kandi, Murshidabad, West Bengal, PIN- 742137",,,,0
,25,rajesh,Inthree-Domkal,Samim Biswas,samimbiswas3@gmail.com,7501384291/7407519901,"Inthree Access Services Pvt Ltd,  Vill: Jayrampur, P.O & P.S. Domkol, ",Murshidabad,IN,West Bengal,519,742303,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt Ltd,  Vill: Jayrampur, P.O & P.S. Domkol, Dist. Murshidabad, PIN-742303",,,,0
,26,rajesh,Inthree-jharkhand,sasikumar,sasikumar@inthreeaccess.com,7358381860,"Inthree Access Services Pvt Ltd,  plot no 1510 and 2191 of khata no 147, MAHILONG, TATISILWE NEAR SARLA BIRLA SCHOOL, RANCHI, Ranchi, Jharkhand, 835103",Ranchi,IN,Jharkhand,500,835103,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,20AADCI1865R1ZB,"Inthree Access Services Pvt Ltd,  plot no 1510 and 2191 of khata no 147, MAHILONG,
TATISILWE NEAR SARLA BIRLA SCHOOL, RANCHI,
Ranchi, Jharkhand, 835103",,,,1
,27,rajesh,inthree-chhattisgarh,sasikumar,sasikumar@inthreeaccess.com,7358381860,"Inthree Access Services Pvt Ltd,  CARE OF SHREE VASU LOGISTICS LIMITED, NO.1, LOGISTICS PARK, OPP.JAIKA AUTOMOBILE RING ROAD RAIPURA, RAIPUR, Raipur, Chhattisgarh, 492013",Raipur,IN,Chhattisgarh,491,492013,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,22AADCI1865R1Z7,"Inthree Access Services Pvt Ltd,  CARE OF SHREE VASU LOGISTICS LIMITED, NO.1, LOGISTICS PARK, OPP.JAIKA AUTOMOBILE RING ROAD RAIPURA, RAIPUR, Raipur, Chhattisgarh, 492013",,,,1
,28,rajesh,inthree-madhya pradesh,sasikumar,sasikumar@inthreeaccess.com,7358381860,"Inthree Access Services Pvt Ltd,  66/1,67/4/2,68/3/3, LASUDIA MORI, DEWAS NAKA, INDORE, Indore, Madhya Pradesh, 453771",INDORE,IN,Madhya Pradesh,504,453771,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,23AADCI1865R1Z5,"Inthree Access Services Pvt Ltd,  
66/1,67/4/2,68/3/3, LASUDIA MORI, DEWAS NAKA, INDORE,
Indore, Madhya Pradesh, 453771",,,,1
,29,rajesh,Inthree-Tiruttani,Tiruttani,chn-lg@inthreeaccess.com,9566009974,"Inthree Access Service Pvt. Ltd.  No. 69, Plot No: 2, Senthamizhil Nagar North,  Kalal Police Street, Tiruttani Bye Pass,  Thiruvallur Dist, Tiruttani - 631209.",Chennai,IN,Tamil Nadu,515,631209,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree Access Service Pvt. Ltd.
No. 69, Plot No: 2, Senthamizhil Nagar North,
Kalal Police Street, Tiruttani Bye Pass,
Thiruvallur Dist, Tiruttani - 631209",,,,0
,30,rajesh,Inthree-Madurai,Sriram,sriram.b@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd. #24, Rajasekaran Street, Dr. Radhakrishnan Salai, Mylapore.",Chennai,IN,Tamil Nadu,515,625001,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree Access Services Pvt Ltd,
 S NO 85,86,88, SIVABOODAMEDU, VANAGARAM, Chennai, Tamil Nadu, 600095",,,,0
,31,rajesh,Chennai-Virtual,Riyaz,riyaz@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd. #24, Rajasekaran Street, Dr. Radhakrishnan Salai, Mylapore.",Chennai,IN,Tamil Nadu,515,620001,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree Access Services Pvt Ltd,
 S NO 85,86,88, SIVABOODAMEDU, VANAGARAM, Chennai, Tamil Nadu, 600095",,,,0
,32,rajesh,Inthree-Trichy,Riyaz,riyaz@inthreeaccess.com,9.20E+12,"178/1 , Viralimalai Main Road ,  Nagamangalam , Trichy - 620012.",Nagamangalam,IN,Tamil Nadu,515,620012,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree access Service Private Limited C/O Swaraj Associates178/1 , Viralimalai Main Road ,
Nagamangalam , Trichy - 620012.",,,,0
,33,rajesh,Trichy-Virtual,Riyaz,riyaz@inthreeaccess.com,97909001221,"178/1 , Viralimalai Main Road ,  Nagamangalam , Trichy - 620012.",Trichy,IN,Tamil Nadu,515,620012,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree access Service Private Limited 
C/O Swaraj Associates
178/1 , Viralimalai Main Road ,
Nagamangalam , Trichy - 620012.",,,,0
,34,rajesh,Inthree-Chennai-Mela,Chennai,chn-lg@inthreeaccess.com,044-3500 4949,"Inthree Access Services Pvt Ltd. #24, Rajasekaran Street, Dr. Radhakrishnan Salai, Mylapore.",Chennai,IN,Tamil Nadu,515,600004,NULL,NULL,0,1,0,33070821740,960954,U52100TN2013PTC090074,33AADCI1865R1Z4,"Inthree Access Services Pvt Ltd,
 S NO 85,86,88, SIVABOODAMEDU, VANAGARAM, Chennai, Tamil Nadu, 600095",,,,0
,35,rajesh,Inthree-Westbengal-Mela,Michael David,chn-lg@inthreeaccess.com,(033) 40650047,"INTHREE ACCESS SERVICES PVT LTD, 4B,GROUND FLOOR, RAJA BASANTA ROY ROAD",KOLKATA,IN,West Bengal,519,700026,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"Inthree Access Services Pvt. Ltd.Mankasia Properties Pvt. Ltd.Sankrial Industrial Park,Bhagabatipur, P.S.- Sankrial,Dhulagarh, Howrah,West Bengal—711302",,,,0
,36,rajesh,Inthree-Karnataka-Mela,Nagaraju,chn-lg@inthreeaccess.com,9148974799,"Inthree Access Services Pvt Ltd,  1, Nelamangala New Town, Marappanpalaya Road, Nelmangala, Bengaluru  (Bangalore) Rural, Karnataka",NELMANGALA,IN,Karnataka,501,562123,NULL,NULL,0,1,0,29271132096,29271132096,U52100TN2013PTC090074,29AADCI1865R1ZT,"Inthree access services Pvt Ltd
1, Nelamangala New Town, Marappanpalaya Road, Nelmangala, Bengaluru
(Bangalore) Rural, Karnataka, 562123",,,,0
,37,rajesh,inthree-Odisha-Mela,Satya,chn-lg@inthreeaccess.com,9324450943/8118052655,"INTHREE ACCESS SERVICES PVT LTD, C/O,VRL Logistics Ltd,Plot No.1440/1441,   At Nankar, Aside NH45,  Jagatpur,Cuttuk",Orissa,IN,Odisha,510,754021,NULL,NULL,0,1,0,21343304747,21343304747,U52100TN2013PTC090074,21AADCI1865R1Z9,"INTHREE ACCESS SERVICES PVT LTD
NH-5, BHANPUR, NEAR BIJAY DHABA
GOPALPUR, CUTTACK - 753011
",,,,0
,38,rajesh,Inthree-Assam-Mela,Ramalingam,ramalingam@inthreeaccess.in,7358381851,"INTHREE ACCESS SERVICES PVT LTD,   Rajprotim Supply Chain Solutions Limited Betkuchi, Besides Nissan Showroom, NH - 37, Guwahati",Guwahati,IN,Assam,488,781034,NULL,NULL,0,1,0,18800250159,18749956968,U52100TN2013PTC090074,18AADCI1865R1ZW,"INTHREE ACCESS SERVICES PVT LTD,
Rajprotim Supply Chain Solutions Limited
Betkuchi, Besides Nissan Showroom,
NH - 37, Guwahati - 781034",,,,0
,39,rajesh,Inthree-Bihar-Mela,Zahid,chn-lg@inthreeaccess.com,9741309944,"INTHREE ACCESS SERVICES PVT LTD,road no 1, Madhuraj bhavan,  Loha godam road, zakariyapur, Zero mile, Patna, Bihar, 800030",Patna,IN,Bihar,489,800030,NULL,NULL,0,1,0,10134053063,10134053063,U52100TN2013PTC090074,10AADCI1865R1ZC,"INTHREE ACCESS SERVICES PVT LTD
road no 1, Madhuraj bhavan, 
Loha godam road,
zakariyapur, Zero mile,
Patna, Bihar, 800030",,,,0
,40,rajesh,Inthree-Murshidabad,Michael David,chn-lg@inthreeaccess.com,(033) 40650047,"M/S- Sarkar Enterprise  Chunakhali, Gopinathpur,  Murshidabad, West Bengal ,Pin-742149",KOLKATA,IN,West Bengal,519,742149,NULL,NULL,0,1,0,19621521908,19621521908,U52100TN2013PTC090074,19AADCI1865R1ZU,"M/S- Sarkar Enterprise

Chunakhali, Gopinathpur,

Murshidabad, West Bengal ,Pin-742149",,,,0
